start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url
2024-08-04T13:00:00+02:00,2024-08-04T17:00:00+02:00,2024-08-04,SCHEDULED,Shooting,SHO,25m Rapid Fire Pistol Men,0,25m Rapid Fire Pistol Men's Qual.,M,ATH,Chateauroux Shooting Ctr,CTX,Chateauroux - 25m Qualification,SH3,/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/qual--------
2024-08-04T13:00:00+02:00,2024-08-04T15:15:00+02:00,2024-08-04,SCHEDULED,Volleyball,VVO,Women,0,Women's Preliminary Round - Pool A,W,HTEAM,South Paris Arena 1,SP1,South Paris Arena 1,SP1,/en/paris-2024/results/volleyball/women/gpa-000500--
2024-08-04T13:08:00+02:00,2024-08-04T13:19:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Men's 92kg,3,Men's 92kg - Semifinals,M,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/men-s-92kg/sfnl000100--
2024-08-04T13:13:00+02:00,2024-08-04T13:26:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual Quarterfinals,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/qfnl000100--
2024-08-04T13:13:00+02:00,2024-08-04T13:30:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Women's Kite,0,Women's Kite Opening Series,W,TEAM,Marseille Marina,MAM,Marseille Marina - Marseille,SA1,/en/paris-2024/results/sailing/women-s-kite/prel000200--
2024-08-04T13:13:00+02:00,2024-08-04T14:04:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Men's Dinghy,0,Men's Dinghy Opening Series,M,ATH,Marseille Marina,MAM,Marseille Marina - Corniche,SA2,/en/paris-2024/results/sailing/men-s-dinghy/prel000800--
2024-08-04T13:26:00+02:00,2024-08-04T13:39:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual Quarterfinals,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/qfnl000300--
2024-08-04T13:30:00+02:00,2024-08-04T15:15:00+02:00,2024-08-04,SCHEDULED,Basketball,BKB,Women,0,Women's Group Phase - Group B,W,HTEAM,Pierre Mauroy Stadium,LIL,Pierre Mauroy Stadium,LIL,/en/paris-2024/results/basketball/women/gpb-000500--
2024-08-04T13:30:00+02:00,2024-08-04T14:30:00+02:00,2024-08-04,SCHEDULED,Table Tennis,TTE,Men's Singles,3,Men's Singles Finals,M,HATH,South Paris Arena 4,SP4,South Paris Arena 4 Table 1,TT1,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000200--
2024-08-04T13:33:00+02:00,2024-08-04T13:50:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Men's Kite,0,Men's Kite Opening Series,M,ATH,Marseille Marina,MAM,Marseille Marina - Marseille,SA1,/en/paris-2024/results/sailing/men-s-kite/prel000300--
2024-08-04T13:39:00+02:00,2024-08-04T13:52:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual Quarterfinals,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/qfnl000400--
2024-08-04T13:40:00+02:00,2024-08-04T14:50:00+02:00,2024-08-04,SCHEDULED,Fencing,FEN,Men's Foil Team,0,Men's Foil Team Classifications 5-8,M,HTEAM,Grand Palais,GRP,Grand Palais - Yellow Piste,FEY,/en/paris-2024/results/fencing/men-s-foil-team/sf5-000100--
2024-08-04T13:40:00+02:00,2024-08-04T14:50:00+02:00,2024-08-04,SCHEDULED,Fencing,FEN,Men's Foil Team,0,Men's Foil Team Classifications 5-8,M,HTEAM,Grand Palais,GRP,Grand Palais - Red Piste,FER,/en/paris-2024/results/fencing/men-s-foil-team/sf5-000200--
2024-08-04T13:49:00+02:00,2024-08-04T14:24:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Mixed Multihull,0,Mixed Multihull Opening Series,X,TEAM,Marseille Marina,MAM,Marseille Marina - Frioul,SA3,/en/paris-2024/results/sailing/mixed-multihull/prel000600--
2024-08-04T13:52:00+02:00,2024-08-04T14:05:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual Semifinals,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/sfnl000100--
2024-08-04T13:53:00+02:00,2024-08-04T14:10:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Women's Kite,0,Women's Kite Opening Series,W,TEAM,Marseille Marina,MAM,Marseille Marina - Marseille,SA1,/en/paris-2024/results/sailing/women-s-kite/prel000300--
2024-08-04T14:00:00+02:00,2024-08-04T14:50:00+02:00,2024-08-04,SCHEDULED,Beach Volleyball,VBV,Beach Volleyball,0,Beach Volleyball Session Schedules,-,NONE,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,
2024-08-04T14:00:00+02:00,2024-08-04T14:50:00+02:00,2024-08-04,SCHEDULED,Beach Volleyball,VBV,Women,0,Women's Round of 16,W,HTEAM,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,/en/paris-2024/results/beach-volleyball/women/8fnl000400--
2024-08-04T14:00:00+02:00,2024-08-04T18:24:00+02:00,2024-08-04,SCHEDULED,Cycling Road,CRD,Women's Road Race,1,Women's Road Race,W,ATH,Trocadéro,TRO,Trocadéro,TRO,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--
2024-08-04T14:00:00+02:00,2024-08-04T15:30:00+02:00,2024-08-04,SCHEDULED,Handball,HBL,Men,0,Men's Preliminary Round Group A,M,HTEAM,South Paris Arena 6,SP6,South Paris Arena 6,SP6,/en/paris-2024/results/handball/men/gpa-001400--
2024-08-04T14:00:00+02:00,2024-08-04T15:25:00+02:00,2024-08-04,SCHEDULED,Water Polo,WPO,Women,0,Women's Preliminary Round - Group A,W,HTEAM,Aquatics Centre,AQC,Aquatics Centre,AQC,/en/paris-2024/results/water-polo/women/gpa-000900--
2024-08-04T14:05:00+02:00,2024-08-04T14:18:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual Semifinals,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/sfnl000200--
2024-08-04T14:13:00+02:00,2024-08-04T14:30:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Men's Kite,0,Men's Kite Opening Series,M,ATH,Marseille Marina,MAM,Marseille Marina - Marseille,SA1,/en/paris-2024/results/sailing/men-s-kite/prel000400--
2024-08-04T14:30:00+02:00,2024-08-04T15:30:00+02:00,2024-08-04,SCHEDULED,Table Tennis,TTE,Men's Singles,1,Men's Singles Finals,M,HATH,South Paris Arena 4,SP4,South Paris Arena 4 Table 1,TT1,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--
